FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
J0J,51.8,3.8,5,53.2,46.2,50.6,46.4,44,34.8,45.1529,-73.1636
J0K,45.8,2.2,6.4,23.4,19.4,29.7,26.8,64.1,20.8,46.7966,-73.8705
J0L,45.8,5,6.3,50.3,38.8,18,21.8,40.8,22.7,45.1956,-73.5695
J0N,58.3,4.3,7.7,57.7,29.7,55.7,45,77,23.3,45.5135,-74.0534
J0P,52,3,5,1,98,0,4,2,5,45.3655,-74.312
J0R,41.2,2.5,7,43.5,29,63.5,60,69.5,30.8,45.866,-74.1785
J0T,53,3.2,7.5,53.8,29.2,49,44,58.8,26.2,46.3002,-74.5855
J0V,28,6,9,63,15,21,44,40,59,45.8265,-74.9318
J0W,71,3,6.7,40.7,22,48.3,42.3,63.3,17.7,47.0921,-75.7967
J0X,53,3,10,28,10,18,40,78,4,46.307,-76.7653
J0Y,59.5,3,8,64.5,20,54,45.5,78.5,14.5,52.1046,-75.2807
J0Z,70,2,10,63,25,48,28,56,14,47.8626,-78.824
J1A,70,1,7,84,43,76,45,79,39,45.1334,-71.7991
J1E,54.6,1.8,6.6,46.2,26.2,30.4,36,57.4,33,45.4231,-71.8723
J1H,61,2,7,43,32,22,10,4,25,45.3891,-71.8986
J1L,47,3,7,0,0,0,0,0,0,45.4113,-71.9586
J1N,80,2,8,76,68,70,67,73,7,45.3395,-72.0128
J1S,78,2,5,0,58,0,0,79,0,45.5668,-71.9991
J1X,48.5,3.5,5,73,24,65.5,24,76.5,17.5,45.2668,-72.1491
J2A,51,4,8,52,7.5,5.5,2,33,4.5,45.8152,-72.4027
J2B,40,2,7,8,8,20,33,44,4,45.9061,-72.5929
J2C,51.6,2.6,7.2,65.6,11.4,40.8,37.2,24.2,9.2,45.8893,-72.5055
J2H,65,1,7,0,26,66,34,57,37,45.3938,-72.7005
J2K,33,3,7,0,0,0,51,0,82,45.2001,-72.7491
J2L,69,3,10,96,16,62,16,30,0,45.3168,-72.6491
J2N,46,1,5,18,9,7,5,100,7,45.2834,-72.9824
J2T,35,4,7.3,41,28.7,49.7,37.7,42.3,28,45.5971,-72.9366
J2W,49,4,6,35.5,9,6,2,48,13,45.3694,-73.3137
J3A,65,1,1,98,1,1,3,1,3,45.3339,-73.2744
J3B,54,4,7.3,54,4,30.3,26.7,44.3,7,45.2832,-73.2792
J3E,60,3,5,5,45,0,0,50,0,45.5834,-73.3325
J3G,56.2,3,7.8,54.2,36,56.5,24.8,61,7.8,45.5946,-73.2283
J3L,56.7,3.3,6.3,15.7,21,15,16.3,16.3,40.7,45.4501,-73.2825
J3N,61,2,9,98,1,74,58,1,1,45.5334,-73.2825
J3P,65,2,9,47,0,60,70,74,0,46.0365,-73.0665
J3R,35,2,5,0,1,1,27,25,0,46.0206,-73.1439
J3V,28,4,9,61,71,79,18,3,26,45.532,-73.3437
J3Y,52.5,2.5,7.5,39.2,35.5,31.1,20,25.4,19.5,45.4906,-73.3991
J4H,52,2,9,86,1,51,19,70,35,45.5372,-73.5056
J4J,60.5,2.5,6.5,34,41,16,41.5,58,23.5,45.5362,-73.4721
J4K,56.5,3,8.5,40,56,7,33.5,23,30.5,45.5183,-73.5023
J4L,60.7,2.7,6,50,29.7,35.7,15.3,27,8.3,45.5181,-73.4576
J4P,29,5,7,33,3,4,2,65,8,45.5073,-73.5082
J4S,68,2,5,100,100,100,100,100,100,45.481,-73.497
J4T,43,5,9,50,44,49,65,58,21,45.4973,-73.4676
J4V,40.5,1.5,5.5,60,22,63,12.5,61,20,45.4865,-73.4622
J4Z,48.5,3.5,6.5,92.5,1,54,23,1,6,45.4424,-73.4231
J5B,51,2,5,19,17,59,9,11,18,45.3668,-73.5492
J5K,43,2,9,100,0,0,0,0,0,45.7334,-74.1325
J5N,51,3.5,5.5,84.5,41.5,34,88.5,83,39,NA,NA
J5R,64.2,4.2,7.8,50.2,32,48,17,57.2,16.8,45.4168,-73.4992
J5T,51,4,6,44,38.5,65,61,39.5,38,45.8834,-73.2825
J5V,26,2,5,90,71,70,97,81,76,46.2559,-72.9415
J5W,48,3,7,76,76,80,3,36,2,45.8232,-73.4294
J5Y,43,3.4,7.2,19.4,42.2,32.8,48.2,77.4,11.6,45.7774,-73.4252
J5Z,35,4,7,74,2,79,73,67,9,45.7643,-73.5036
J6E,33.7,3,6.3,23.7,16.7,18.3,32.3,57.7,27,46.0168,-73.4492
J6J,23,7,9,71,96,93,95,86,86,45.3691,-73.7216
J6K,74,2,5,65,59,62,78,91,48,45.3526,-73.7305
J6S,57,4,8.5,50.5,0.5,54,59.5,88,25.5,45.2702,-74.0482
J6T,33,3,5,21,50,48,47,42,57,45.2409,-74.1098
